"occurrenceID"	"LUP"	"altibelt"	"dem"	"geometry"
"0f32a26d-7898-47e5-8cda-dd2a4bb2c14f"	3	1	52	55.50876|-4.62676
"b5d3a107-b5eb-4799-bf81-dd0594fa4fd6"	3	1	52	55.50876|-4.62676
"7d2ed8ea-b470-4cde-86fd-45384605867d"	2	2	391	55.40892|-4.63597
"f4fd9346-4f12-44ea-a8eb-c66d1a27b4bc"	2	2	391	55.40892|-4.63597
"ee492568-f2f3-4a66-8ec1-224755d65a8a"	2	2	391	55.40892|-4.63597
"0f87f93f-a611-486f-a2e1-1a69f8159429"				53.31207|-5.11642
"8fe28826-937e-42c8-8540-cc43af7ac0f1"	6	1	21	55.4544|-4.63043
"8c1451e4-0f27-46ac-9ed2-943a94a3059d"	3	1	52	55.50876|-4.62676
"c6fa40ff-248a-4663-8b61-07a2af492326"	6	1	21	55.4544|-4.63043
"495c7043-b22b-49e0-937d-8aec87702a28"	3	1	52	55.50876|-4.62676
"edbc791a-f267-4ca5-a28f-d6e23177853a"				53.31207|-5.11642
"1dc551c9-611a-4b0b-9777-419262a216cc"	6	1	21	55.4544|-4.63043
"febe9927-9e31-4174-83a6-c19091fac8fb"	6	1	21	55.4544|-4.63043
"1c2e73dc-0d5a-4d53-b371-4874d02ff8f0"				53.31207|-5.11642
"75521429-b990-408d-ae29-2588d887f073"	6	1	21	55.4544|-4.63043
"26cef39e-71f8-4f35-90ac-5810d150e28f"	6	1	21	55.4544|-4.63043
"9905e85c-8ce0-4a33-93d2-15b0c21864f0"	3	1	52	55.50876|-4.62676
"c5872c7a-391b-48ec-95c8-534161e9ec45"	6	1	21	55.4544|-4.63043
"a22c26a2-d540-4ce4-b5b9-5e023628838b"	3	1	52	55.50876|-4.62676
"864be6b5-37db-4846-8e58-a6576f10b224"	3	1	52	55.50876|-4.62676
"259a9ae9-0c43-4b8c-9caa-6bdf3864b97c"	3	1	52	55.50876|-4.62676
"facca7d1-2fda-4ff3-8cc1-3cc98a84687a"	6	1	21	55.4544|-4.63043
"881c0d99-2f1a-4db9-bedd-0aba4cfbedf2"	6	1	21	55.4544|-4.63043
"390f4f59-8aab-4d51-9526-700d1abfab11"	6	1	21	55.4544|-4.63043
"0ed274b4-af2f-403f-a229-523a706ddb80"	3	1	52	55.50876|-4.62676
"0caf27b1-54e1-4a7a-a289-bbf508e3d11c"	3	1	52	55.50876|-4.62676
"23652a1e-6cdf-4ff2-ac44-6dfd1706019e"				53.31207|-5.11642
"50ac4c33-8566-492f-a82f-6a0395ec1612"				53.31207|-5.11642
"002f55e8-5e75-4719-910d-bd2b738c2278"				53.31207|-5.11642
"1ca8226b-d62b-4ddd-a689-4d3cc8bf4f3f"	6	1	21	55.4544|-4.63043
"366a0063-6f56-4fa4-9fdc-290cef19e44e"	3	1	52	55.50876|-4.62676
"0a93866f-0a87-4c9c-8021-72e87f9873a9"	6	1	21	55.4544|-4.63043
"e6ffa6c6-521e-46ee-b77c-467dc6c5f5a0"	3	1	52	55.50876|-4.62676
"6185baa9-ccc7-490d-8015-269d1aafc819"				53.31207|-5.11642
"7a2ea091-cb5a-45ca-ab3b-42827d5f6528"	3	1	52	55.50876|-4.62676
"a22dbef3-010a-4928-970c-2a434bbe2180"	3	1	52	55.50876|-4.62676
"6ac259e9-7b3f-45d3-9636-a7f084643163"	3	2	384	55.43961|-4.65633
"531a3dbb-b5bb-4377-a36a-dd0000413426"	2	2	313	55.5011|-4.71321
"0bd1d1e0-05ab-4c62-880d-c95d85373852"	1	2	312	55.50287|-4.7109
"94efc37b-1358-4ed5-bb3c-0c8750f92d96"	3	2	391	55.44008|-4.65588
"b6166ebc-ff7e-428c-8bbb-d68198e1bf10"	3	2	391	55.44008|-4.65588
"1f670445-2cc8-443d-9d96-c6627c1e51fa"	3	1	52	55.50876|-4.62676
"99c7027b-ead3-4841-bb2b-6b3440a0d03b"	6	1	21	55.4544|-4.63043
"0254a716-d9f4-46a5-947c-c71ff1550b54"	6	1	21	55.4544|-4.63043
"a475d391-650e-4fdb-88f2-5b3b6f5825b0"				53.31207|-5.11642
"23d068a5-981c-4b34-96cd-0ab5b52bbc87"	6	1	21	55.4544|-4.63043
"c30f370d-a1e1-417f-b145-bfa0e2e52153"	6	1	21	55.4544|-4.63043
"95cf2bcc-e694-4f79-a9b6-3651b677b21b"	6	1	21	55.4544|-4.63043
"ae524657-d644-45c1-9591-c3ae3155b598"	3	1	52	55.50876|-4.62676
"0fc5d749-1fc6-4b3a-8970-6c7c3f6634fa"	3	1	52	55.50876|-4.62676
"c5858443-8003-4312-a746-da4d4457ff69"	6	1	3	55.70229|-4.29328
"37d8ba5e-395a-45db-b777-7ed8602ca4b8"				53.31207|-5.11642
"ea6f8348-e82d-40bb-b244-e27377cd1156"	6	1	21	55.4544|-4.63043
"f49d8d9d-b8c2-47ac-bc6a-db873f0dc9cb"	3	1	52	55.50876|-4.62676
"a1557660-ef04-4b66-899e-0f7de11d7234"	2	2	425	55.50514|-4.71631
"84b0a049-bb35-499f-bb20-6e99c17a9820"	6	2	416	55.43977|-4.65525
"5ac87e1e-6f90-41fc-b202-ddcee11a8111"	3	1	52	55.50876|-4.62676
