"taxonID"	"gbifNameUsage"	"gbifStatus"	"threatStatusGlobal"
"20200407144831"	"Anisacanthus quadrifidus var. wrightii (Torr.) Henrickson"	"ACCEPTED"	
"ff0affd9-39a4-4b3f-a8f5-72cace83dc49"	"Asystasia gangetica subsp. gangetica"	"ACCEPTED"	
"aab0bc6e-defd-4417-8e16-24a0542b20b5"	"Asystasia gangetica subsp. micrantha (Nees) Ensermu"	"ACCEPTED"	
"5c5060cf-3fe9-44ff-a41e-f86fbf1bab54"	"Asystasia nemorum (Russell ex Wall.) Nees"	"SYNONYM"	
"8e547c9a-c3c7-4ab5-bcad-f42ec22b1c0f"	"Barleria cristata L."	"ACCEPTED"	
"9871bedb-8805-4321-91aa-4e51a4b3f843"	"Barleria decaisniana Nees"	"ACCEPTED"	
"9c5865e5-672e-4e94-834b-4c57db93dcc7"	"Barleria lupulina Lindl."	"ACCEPTED"	
"7a04abd8-edc9-4063-b153-a75e5c1cffe7"	"Barleria prionitis L."	"ACCEPTED"	
"20200407152239"	"Barleria repens Nees"	"ACCEPTED"	
"b50d1756-a6b7-42b5-9f65-4fac22feb807"	"Brillantaisia owariensis Beauv."	"ACCEPTED"	
"8cc4bbf5-18a4-495d-904f-03f5ba1c1610"	"Crossandra infundibuliformis (L.) Nees"	"ACCEPTED"	
"96a13abe-e741-4699-8155-0dedab1ca40b"	"Graptophyllum pictum (L.) Griff."	"ACCEPTED"	
"0f178eaa-3052-4da0-9054-bf258bebc459"	"Hemigraphis alternata (Burm.fil.) T.Anderson"	"HOMOTYPIC_SYNONYM"	
"459c63f9-8e14-47ea-b5f9-f75cd2f69cb2"	"Hypoestes aldabrensis Baker"	"ACCEPTED"	
"d6e05b98-6d36-4132-aa99-2ee6dfea4285"	"Justicia betonica L."	"ACCEPTED"	
"33560b3b-a21e-4162-93f4-20a6ba816020"	"Justicia brandegeeana Wassh. & L.B.Sm."	"ACCEPTED"	
"98bc5aa7-64d4-4e5c-b4f8-f54cd8210d5d"	"Justicia brasiliana Roth"	"ACCEPTED"	
"1b2f038e-a5fc-4d14-9ab9-0529952775d0"	"Justicia congestiflora var. humilior Benoist"	"ACCEPTED"	
"7945486a-0778-44c7-8d83-f747ead65a33"	"Justicia gardineri Turrill"	"ACCEPTED"	
"cea4817a-f52c-4a9e-ae1c-86870f4d59cc"	"Justicia gendarussa Burm.fil."	"ACCEPTED"	
"20a111e2-c23a-4924-8ae1-f8703c6e8dc2"	"Megaskepasma erythrochlamys Lindau"	"ACCEPTED"	
"9bef43ee-0dc7-4e75-bdc8-57fefd54d779"	"Odontonema tubaeforme (Bertol.) Kuntze"	"SYNONYM"	
"1c4adfe5-08c7-42cb-a505-bf72dca15ca8"	"Pachystachys spicata (Ruiz & Pav.) Wassh."	"ACCEPTED"	
"75b815cf-21bd-4f49-9472-c5f0e49db80b"	"Phlogacanthus turgidus (Fua ex Hook.fil.) Lindau"	"ACCEPTED"	
"5e325e60-8686-431b-98fd-8635a2e47e2e"	"Pseuderanthemum carruthersii var. atropurpureum (Bull) Fosberg"	"ACCEPTED"	
"d5e7fe22-85c8-43af-afbd-85beccced63f"	"Pseuderanthemum carruthersii var. carruthersii"	"SYNONYM"	
"90c1b064-9961-42d6-814a-cf1c15fc47d0"	"Pseuderanthemum subviscosum (C.B.Clarke) Stapf"	"ACCEPTED"	
"20200407214710"	"Ruellia chartacea (T.Anderson) Wassh."	"ACCEPTED"	
"f3d09b0b-07bd-44f6-9932-bfd7e7b2421b"	"Ruellia monanthos (Nees) Bojer ex T.Anderson"	"ACCEPTED"	
"28667ccf-2530-4260-b5b8-b1e7054665df"	"Ruellia simplex Wright"	"ACCEPTED"	
"589288ed-d126-4fac-bc1e-aedaaa2aa89c"	"Ruellia tuberosa L."	"ACCEPTED"	
"e8b459e5-9341-4d9a-bf6b-5e688db77a22"	"Ruspolia pseuderanthemoides Lindau"	"SYNONYM"	
"46a8e8c7-73db-4173-88db-302d2d4f9d17"	"Sanchezia parvibracteata Sprague & Hutch."	"ACCEPTED"	
"46bda4cd-222f-4252-9e48-6ea73fe0b25a"	"Strobilanthes dyeriana Mast."	"HOMOTYPIC_SYNONYM"	
"20201021134340"	"Strobilanthes reptans (G.Forst.) Moylan ex Y.F.Deng & J.R.I.Wood"	"ACCEPTED"	
"85c4dea5-01bb-417c-90ed-6822a6a3082d"	"Thunbergia alata Bojer ex Sims"	"ACCEPTED"	
"3076ca7c-df89-4aba-b041-03d5fe8c9f9e"	"Thunbergia erecta (Benth.) T.Anderson"	"ACCEPTED"	
"8ee2e5ea-2ad6-4f29-84e2-757bec1d4312"	"Thunbergia fragrans Roxb."	"ACCEPTED"	
"3c068f8e-8c06-46f4-a82a-f8ec1f7e884f"	"Thunbergia grandiflora (Roxb. ex Rottler) Roxb."	"ACCEPTED"	
"f2b8a90e-8d63-4d99-87cc-0ac676c07d00"	"Thunbergia holstii Lindau"	"SYNONYM"	
"800389c8-150b-4b84-b6c5-6be69115767d"	"Sesuvium portulacastrum (L.) L."	"ACCEPTED"	"LC"
"d7ceab0e-7377-4929-a6f5-44304124dbd8"	"Trianthema portulacastrum L."	"ACCEPTED"	
"0f9c41bb-6f5f-44b6-82c1-8c8bd15abf9e"	"Achyranthes aspera var. aspera"	"SYNONYM"	
"f9244f4f-1e11-4aaa-8c36-30b2e577b7b8"	"Achyranthes aspera var. fruticosa (Lam.) Boerl."	"SYNONYM"	
"316beb8a-74a1-42a5-a618-13fd2529c78e"	"Achyranthes aspera var. villosior (Hensl.) D.M.Porter"	"SYNONYM"	
"b2a12b18-ad08-4359-ae9d-c75192fdc018"	"Aerva javanica (Burm.fil.) Schult."	"SYNONYM"	
"089a20ad-4469-424f-baa9-cda67b2e17a0"	"Aerva lanata (L.) Juss. ex Schult."	"HOMOTYPIC_SYNONYM"	
"35c62fb3-d19b-4a02-820b-6e22aa74c441"	"Alternanthera bettzickiana (Regel) G.Nicholson"	"SYNONYM"	
"b1fc1332-8b00-4b1f-af9b-b292361ea8b5"	"Alternanthera brasiliana (L.) Kuntze"	"ACCEPTED"	
"4080a8eb-6f5d-412f-afc2-90009edd85a7"	"Alternanthera pungens Kunth"	"ACCEPTED"	
"ae026382-58bb-4ba7-a3d6-e1597ef77d8b"	"Alternanthera sessilis (L.) DC."	"ACCEPTED"	"LC"
"cf642e61-581c-4038-8243-aeac455b7cc9"	"Amaranthus caudatus L."	"ACCEPTED"	
"079a33d5-4227-4862-8680-aa1d4974d293"	"Amaranthus dubius Mart. ex Thell."	"SYNONYM"	
"b31ab0ed-7115-4df1-82a6-70db37043d17"	"Amaranthus lividus L."	"HETEROTYPIC_SYNONYM"	
"2249a2ae-296d-41cd-b25c-a49dbd6525de"	"Amaranthus viridis L."	"ACCEPTED"	
"30617c14-0a61-4171-9f1c-1ac243293f22"	"Beta vulgaris L."	"ACCEPTED"	
"9ce28624-67d1-45b0-bee0-3206903f0348"	"Celosia argentea L."	"ACCEPTED"	"LC"
"2a9984af-77a3-4f8c-a828-82692a401e69"	"Chenopodium album L."	"ACCEPTED"	
"c6490ec9-472f-4a58-b028-2fbd2f03a376"	"Chenopodium ambrosioides L."	"HETEROTYPIC_SYNONYM"	
"d4a0cbb0-c7af-4883-b81b-de1b1c9fc362"	"Cyathula prostrata (L.) Blume"	"ACCEPTED"	
"91860751-9442-4a68-8561-638b3fcc8622"	"Deeringia spicata (Thouars) Schinz"	"SYNONYM"	
"babeb4e1-f394-4200-86d5-9362c8dc3fb7"	"Gomphrena globosa L."	"ACCEPTED"	
"ed290330-bd29-483d-917b-ed17d5b78888"	""	""	
"f426f1c2-4d26-480f-ae47-08462ddaebb3"	"Lagrezia madagascariensis (Poir.) Moq."	"ACCEPTED"	
"79f730be-6cc8-4c4b-ad1c-7af84742c5e0"	"Lagrezia oligomeroides (C.H.Wright) Fosberg"	"ACCEPTED"	
"b873deb4-beb3-4fc4-865d-5f0f7016f1aa"	"Salicornia pachystachya Bunge ex Ung.-Sternb."	"ACCEPTED"	
"60f24ddf-8d21-4420-9083-43b1e80282dd"	"Anacardium occidentale L."	"ACCEPTED"	
"5c509bf3-687f-4101-9c51-e21ab7326e8a"	"Campnosperma seychellarum Marchand"	"ACCEPTED"	"CR"
"3b249bdb-d699-4b21-a64d-e913b65f9416"	"Mangifera indica L."	"ACCEPTED"	
"cb0c5f08-8b4a-4205-88ed-5dcbbf888064"	"Poupartia gummifera Sprague"	"HOMOTYPIC_SYNONYM"	
"d36ebe3f-9cdf-4e13-ac50-0af208efb130"	"Schinus terebinthifolia Raddi"	"ACCEPTED"	
"90cd2753-8e19-4c71-80b5-7b26ccd7cf49"	"Sorindeia grandifolia Engl."	"ACCEPTED"	
"d4e54b5b-39bd-4a55-87c9-e01dbf4c8abb"	"Spondias dulcis Sol. ex G.Forst."	"ACCEPTED"	
"a5ea9aa8-387d-442f-af5a-6b3f7dfce50d"	"Annona cherimola Mill."	"ACCEPTED"	
"e2aca80f-265f-49d4-b8d3-10ba1abf95d9"	"Annona glabra L."	"ACCEPTED"	
"e63a8d91-91db-4068-8e54-75f0a51b6df8"	"Annona macroprophyllata Donn.Sm."	"ACCEPTED"	
"7536bf59-180c-43b8-ab8c-d1aa427494e9"	"Annona muricata L."	"ACCEPTED"	
"8854ef73-f025-4cf7-97a6-7490838ebd53"	"Annona reticulata L."	"ACCEPTED"	
"45dec207-a3b9-4ba0-86bc-de60db40e47d"	"Annona squamosa L."	"ACCEPTED"	
"20200407145955"	"Artabotrys hexapetalus (L.f.) Bhandari"	"ACCEPTED"	
"9ddd6648-fa4d-4766-b651-afeacd0f6c11"	"Cananga odorata (Lam.) Hook.f. & Thomson"	"ACCEPTED"	
"20220329083835"	"Monoon longifolium (Sonn.) B.Xue & R.M.K.Saunders"	"HOMOTYPIC_SYNONYM"	
"770de6de-4b62-4697-a647-5217c553022b"	"Ayapana triplinervis (Vahl) R.King & H.Rob."	"ACCEPTED"	
"9e74a47f-8af5-4aa8-bf3b-6eb2f2bb8c35"	"Bellis perennis L."	"ACCEPTED"	
"500ba6f6-3956-4b15-b329-29ab61890ac2"	"Bidens pilosa L."	"ACCEPTED"	
"3090864"	"Centratherum punctatum Cass."	"ACCEPTED"	
"ae69042b-9468-4437-acf3-f7e2a7549b01"	"Cichorium endivia L."	"ACCEPTED"	
"3e5b9cb5-b7bb-483d-aa16-e1d568ed1872"	"Coreopsis lanceolata L."	"ACCEPTED"	
"a03f86d4-ff9b-4ef5-8e1f-cf614702b573"	"Coreopsis tinctoria Nutt."	"ACCEPTED"	
"b4d83940-3251-4bcf-b207-5f57a7ccad71"	"Cosmos bipinnatus Cav."	"ACCEPTED"	
"55b7325b-ce5a-4a6e-8b9e-a95008641079"	"Cosmos caudatus Kunth"	"ACCEPTED"	
"dabfc07b-8124-4b17-9c89-a96c354ae282"	"Cosmos sulphureus Cav."	"ACCEPTED"	
"4da758bd-eec8-4d73-b941-8ed57c81eb2b"	"Cyanthillium cinereum (L.) H.Rob."	"ACCEPTED"	
"15fc88ae-70d0-4004-9ba2-3a30bc116279"	"Dahlia ×hortensis Guillaumin"	"ACCEPTED"	
"ea711aec-1e42-42cd-bdb5-91c010bd8bce"	"Dendranthema indicum (L.) Des Moul."	"HOMOTYPIC_SYNONYM"	
"9769e167-1ff6-45ec-977b-6e82572d9417"	""	""	
"f945b1d1-7db3-4bc8-b864-2111debe1353"	"Apium graveolens L."	"ACCEPTED"	
"45e73692-a545-4eb3-a29d-fde4fce5bfe3"	"Centella asiatica (L.) Urb."	"ACCEPTED"	
"d773b8db-03d6-48b0-9ab3-0ea55607b10b"	"Daucus carota L."	"ACCEPTED"	
"b12bba4a-dfe3-4750-93cf-d1b4eab46e0c"	"Hydrocotyle leucocephala Cham. & Schltdl."	"ACCEPTED"	
"59159472-49a9-457a-9ba5-09c9aa3f54bd"	"Petroselinum crispum (Mill.) Fuss"	"ACCEPTED"	
"0c8fcf02-c574-4357-86a9-45c43d77e561"	"Trachyspermum ammi (L.) Sprague"	"ACCEPTED"	
"4e915eb5-399d-4faf-b0ca-a6cbef82f7ab"	"Adenium obesum (Forssk.) Roem. & Schult."	"ACCEPTED"	
"076f120c-4c3c-42e7-a552-13292fd0df7f"	"Allamanda cathartica L."	"ACCEPTED"	
"7a0d528d-97e6-40a3-9270-a9111c667589"	"Allamanda violacea Gardner & Fielding"	"SYNONYM"	
"3bcb57fb-29b1-4340-bd3a-f42e93bd2245"	"Alstonia macrophylla Wall. ex G.Don"	"ACCEPTED"	
"6d785b83-5f29-4c83-ae61-8bd4b95fe018"	"Asclepias curassavica L."	"ACCEPTED"	
"64941493-ea3a-4623-be43-c0554772c9b5"	"Beaumontia grandiflora Wall."	"ACCEPTED"	
"91c773da-7548-40dd-960f-e31d8df32d06"	"Calotropis gigantea (L.) W.T.Aiton"	"ACCEPTED"	
"c0541cf7-fb09-40e3-9d43-e606aa9b6300"	"Camptocarpus mauritianus Decne."	"ACCEPTED"	
"c3e27baa-d932-4732-b332-27866afc4efe"	"Carissa spinarum L."	"ACCEPTED"	"LC"
"5e6f079f-f059-41e7-a855-1cd9230f7dff"	"Catharanthus roseus (L.) G.Don"	"ACCEPTED"	
"c2048016-310a-48eb-9d30-95828071a7fb"	"Cerbera manghas L."	"ACCEPTED"	"LC"
"0fc462e2-0ffd-42e2-bde6-f14f153780ba"	"Cryptostegia madagascariensis Bojer ex Decne."	"DOUBTFUL"	
"889d8f0f-69d7-4efd-85bf-285e3a916af7"	"Cynanchum callialatum Buch.-Ham. ex Wight"	"ACCEPTED"	
"20220516092810"	"Cynanchum viminale subsp. brunonianum (Wight & Arn.) Meve & Liede"	"ACCEPTED"	
"eb7e4363-e62b-47ef-8765-39dd2eccbd9a"	"Funtumia elastica (Preuss) Stapf"	"ACCEPTED"	
"8ac6a622-b0fc-43ce-a825-babe474f5400"	"Gomphocarpus fruticosus (L.) W.T.Aiton"	"ACCEPTED"	
"1fabe968-229f-4c5b-9d80-f29654585fad"	"Gomphocarpus physocarpus E.Mey."	"ACCEPTED"	
"d831bc68-27b6-43ef-90fc-ddb3f4b677eb"	"Hoya carnosa (L.fil.) R.Br."	"ACCEPTED"	
"9111779f-a221-43f4-924a-00cc250d4ce9"	"Huernia hislopii Turrill"	"SYNONYM"	
"cdcc0c16-d9f0-4063-a9d2-a8d5a8820990"	"Kopsia arborea Blume"	"ACCEPTED"	
"39387282-9136-4462-a988-55bbd43a4260"	"Kopsia fruticosa (Ker Gawl.) A.DC."	"ACCEPTED"	
"84929dc9-8a3e-44cf-99e7-52718c5763de"	"Mascarenhasia arborescens A.DC."	"ACCEPTED"	
"f6fcb040-fefa-4606-8fba-ba45a2224c33"	"Nerium oleander L."	"ACCEPTED"	
"a06f4a91-d447-44f4-8449-8e1491724304"	"Ochrosia oppositifolia (Lam.) K.Schum."	"ACCEPTED"	
"20201113182325"	"Pachypodium lamerei Drake"	"ACCEPTED"	
"1abf2dcf-640a-4f6c-b2e5-72f822b20a8c"	"Pentopetia androsaemifolia Decne."	"ACCEPTED"	
"f2860775-2a39-4d34-9c25-5dd8808236bb"	"Pleurostelma cernuum (Decne.) Bullock"	"HOMOTYPIC_SYNONYM"	
"a3bc8fe9-c1ee-4fc2-b06c-3f6fb448fe15"	"Plumeria obtusa L."	"ACCEPTED"	
"65ea7ac5-9064-452d-b2fb-09264c1c909e"	"Plumeria pudica Jacq."	"ACCEPTED"	
